# Effective area for Roman (m^2) - parameters as of 2021 06 14,,,,,,,,,,,
Wave,F062,F087,F106,F129,F158,F184,F146,F213,SNPrism,Grism_1stOrder,Grism_0thOrder
0.786,0.0043,2.4745,0,0,0,0,0,0,2.405,0,0
0.787,0.003,2.4758,0,0,0,0,0,0,2.405,0,0
0.788,0.002,2.4767,0,0,0,0,0,0,2.4049,0,0
0.789,0.0014,2.4778,0,0,0,0,0,0,2.4054,0,0
0.79,0.0009,2.4787,0,0,0,0,0,0,2.4058,0,0
0.791,0.0006,2.4788,0,0,0,0,0,0,2.4056,0,0
0.792,0.0004,2.4788,0,0,0,0,0,0,2.4054,0,0
0.793,0.0003,2.4792,0,0,0,0,0,0,2.4056,0,0
0.794,0.0002,2.4799,0,0,0,0,0,0,2.4063,0,0
0.795,0.0001,2.4807,0,0,0,0,0,0,2.407,0,0
0.796,0.0001,2.4813,0,0,0,0,0,0,2.4074,0,0
0.797,0,2.4814,0,0,0,0,0,0,2.4075,0,0
0.798,0,2.4817,0,0,0,0,0,0,2.4078,0,0
0.799,0,2.4828,0,0,0,0,0,0,2.4089,0,0
0.8,0,2.484,0,0,0,0,0,0,2.41,0,0
0.801,0,2.4856,0,0,0,0,0,0,2.4116,0,0
0.802,0,2.4874,0,0,0,0,0,0,2.4133,0,0
0.803,0,2.4899,0,0,0,0,0,0,2.4157,0,0
0.804,0,2.4925,0,0,0,0,0,0,2.4183,0,0
0.805,0,2.4948,0,0,0,0,0,0,2.4205,0,0
0.806,0,2.4968,0,0,0,0,0,0,2.4224,0,0
0.807,0,2.4989,0,0,0,0,0,0,2.4245,0,0
0.808,0,2.5014,0,0,0,0,0,0,2.4269,0,0
0.809,0,2.5044,0,0,0,0,0,0,2.4298,0,0
0.81,0,2.5075,0,0,0,0,0,0,2.4328,0,0
0.811,0,2.5101,0,0,0,0,0,0,2.4354,0,0
0.812,0,2.5125,0,0,0,0,0,0,2.4377,0,0
0.813,0,2.5149,0,0,0,0,0,0,2.44,0,0
0.814,0,2.5177,0,0,0,0,0,0,2.4427,0,0
0.815,0,2.5209,0,0,0,0,0,0,2.4459,0,0
0.816,0,2.5242,0,0,0,0,0,0,2.449,0,0
0.817,0,2.5269,0,0,0,0,0,0,2.4517,0,0
0.818,0,2.5294,0,0,0,0,0,0,2.4541,0,0
0.819,0,2.5318,0,0,0,0,0,0,2.4564,0,0
0.82,0,2.5345,0,0,0,0,0,0,2.459,0,0
0.821,0,2.5377,0,0,0,0,0,0,2.4621,0,0
0.822,0,2.5408,0,0,0,0,0,0,2.4651,0,0
0.823,0,2.5432,0,0,0,0,0,0,2.4675,0,0
0.824,0,2.5455,0,0,0,0,0,0,2.4698,0,0
0.825,0,2.5484,0,0,0,0,0,0,2.4726,0,0
0.826,0,2.5508,0,0,0,0,0,0,2.4749,0,0
