#         WAVE          FLUX
#------------- -------------
     3574.400      3.471429
     3574.500      3.549691
     3574.600      3.600255
     3574.700      3.540818
     3574.800      3.547381
     3574.900      3.613544
     3575.000      3.672408
     3575.100      3.710870
     3575.200      3.771934
     3575.300      3.936297
     3575.400      4.021861
     3575.500      3.942023
     3575.600      3.826787
     3575.700      3.914350
     3575.800      4.225214
     3575.900      4.510377
     3576.000      4.590140
     3576.100      4.337003
     3576.200      3.907667
     3576.300      3.630330
     3576.400      3.614894
     3576.500      3.936157
     3576.600      4.464020
     3576.700      4.787184
     3576.800      4.529147
     3576.900      4.001710
     3577.000      3.695174
     3577.100      3.748637
     3577.200      3.978901
     3577.300      3.992964
     3577.400      3.868028
     3577.500      3.887491
     3577.600      3.874355
     3577.700      3.701718
     3577.800      3.582482
     3577.900      3.670546
     3578.000      3.906509
     3578.100      4.160072
     3578.200      4.218536
     3578.300      4.152400
     3578.400      4.159963
     3578.500      4.097027
     3578.600      4.007890
     3578.700      4.158954
     3578.800      4.370118
     3578.900      4.196481
     3579.000      3.928145
     3579.100      3.905109
     3579.200      4.125372
     3579.300      4.283836
     3579.400      4.075400
     3579.500      3.782063
     3579.600      3.685427
     3579.700      3.742291
     3579.800      3.843955
     3579.900      3.863219
     3580.000      3.883982
     3580.100      4.198246
     3580.200      4.563210
     3580.300      4.432173
     3580.400      4.122337
     3580.500      4.184101
     3580.600      4.416965
     3580.700      4.267929
     3580.800      3.901693
     3580.900      3.695757
     3581.000      3.553221
     3581.100      3.419184
     3581.200      3.356438
     3581.300      3.422852
     3581.400      3.555976
     3581.500      3.629940
     3581.600      3.649904
     3581.700      3.653568
     3581.800      3.662432
     3581.900      3.717196
     3582.000      3.692060
     3582.100      3.656824
     3582.200      3.743688
     3582.300      3.753452
     3582.400      3.666016
     3582.500      3.734580
     3582.600      3.965244
     3582.700      4.161909
     3582.800      4.184873
     3582.900      4.113236
     3583.000      4.042801
     3583.100      3.913365
     3583.200      3.789429
     3583.300      3.746293
     3583.400      3.734957
     3583.500      3.800421
     3583.600      4.085485
     3583.700      4.585450
     3583.800      4.789414
     3583.900      4.581979
     3584.000      4.405643
     3584.100      4.353507
     3584.200      4.398271
     3584.300      4.416935
     3584.400      4.239699
     3584.500      4.025564
     3584.600      3.908128
     3584.700      3.799493
     3584.800      3.713957
     3584.900      3.671421
     3585.000      3.737986
     3585.100      3.862650
     3585.200      3.845514
     3585.300      3.791479
     3585.400      3.770243
     3585.500      3.682607
     3585.600      3.598572
     3585.700      3.601336
     3585.800      3.608500
     3585.900      3.560565
     3586.000      3.526229
     3586.100      3.485294
     3586.200      3.379199
     3586.300      3.268013
     3586.400      3.301128
     3586.500      3.455652
     3586.600      3.509316
     3586.700      3.421252
     3586.800      3.383716
     3586.900      3.463410
     3587.000      3.524475
     3587.100      3.475339
     3587.200      3.376755
     3587.300      3.320809
     3587.400      3.408343
     3587.500      3.510298
     3587.600      3.370883
     3587.700      3.151157
     3587.800      3.145922
     3587.900      3.315157
     3588.000      3.373751
     3588.100      3.292986
     3588.200      3.334831
     3588.300      3.514015
     3588.400      3.585080
     3588.500      3.519645
     3588.600      3.448910
     3588.700      3.411874
     3588.800      3.412149
     3588.900      3.501004
     3589.000      3.638669
     3589.100      3.752133
     3589.200      3.747098
     3589.300      3.652263
     3589.400      3.578428
     3589.500      3.488293
     3589.600      3.495358
     3589.700      3.726823
     3589.800      3.976288
     3589.900      3.994353
     3590.000      3.905417
     3590.100      3.845582
     3590.200      3.769447
     3590.300      3.773412
     3590.400      3.896077
     3590.500      3.893242
     3590.600      3.736107
     3590.700      3.589972
     3590.800      3.469537
     3590.900      3.475202
     3591.000      3.623667
     3591.100      3.778832
     3591.200      3.837297
     3591.300      3.854763
     3591.400      3.966127
     3591.500      3.956792
     3591.600      3.832457
     3591.700      3.889222
     3591.800      4.045888
     3591.900      4.153353
     3592.000      4.192418
     3592.100      4.101783
     3592.200      3.881848
     3592.300      3.694214
     3592.400      3.637279
     3592.500      3.721344
     3592.600      3.875409
     3592.700      3.984375
     3592.800      4.068239
     3592.900      4.043805
     3593.000      3.904070
     3593.100      3.901635
     3593.200      4.092600
     3593.300      4.153366
     3593.400      4.043531
     3593.500      3.996397
     3593.600      3.951962
     3593.700      3.874927
     3593.800      3.809093
     3593.900      3.742058
     3594.000      3.724223
     3594.100      3.726989
     3594.200      3.698454
     3594.300      3.631919
     3594.400      3.575385
     3594.500      3.583650
     3594.600      3.589015
     3594.700      3.588681
     3594.800      3.591046
     3594.900      3.568512
     3595.000      3.627877
     3595.100      3.788843
     3595.200      3.952508
     3595.300      4.023874
     3595.400      4.033639
     3595.500      4.019505
     3595.600      3.902770
     3595.700      3.760336
     3595.800      3.765602
     3595.900      3.881167
     3596.000      3.936933
     3596.100      3.968998
     3596.200      4.036764
     3596.300      4.105730
     3596.400      4.211395
     3596.500      4.264261
     3596.600      4.164626
     3596.700      4.095992
     3596.800      4.076758
     3596.900      4.092624
     3597.000      4.130089
     3597.100      4.055355
     3597.200      3.991521
     3597.300      4.081087
     3597.400      4.076152
     3597.500      3.936018
     3597.600      3.838184
     3597.700      3.791150
     3597.800      3.985915
     3597.900      4.517981
     3598.000      4.762947
     3598.100      4.582613
     3598.200      4.420479
     3598.300      4.229744
     3598.400      4.324510
     3598.500      4.713176
     3598.600      4.946242
     3598.700      4.857208
     3598.800      4.335073
     3598.900      3.850340
     3599.000      3.782106
     3599.100      3.950972
     3599.200      4.003437
     3599.300      3.748103
     3599.400      3.457270
     3599.500      3.447135
     3599.600      3.703801
     3599.700      4.075768
     3599.800      4.234933
     3599.900      4.093899
     3600.000      3.987865
     3600.100      4.026232
     3600.200      3.988797
     3600.300      3.863263
     3600.400      3.866030
     3600.500      3.960096
     3600.600      3.732562
     3600.700      3.393308
     3600.800      3.491794
     3600.900      3.767460
     3601.000      3.665326
     3601.100      3.360862
     3601.200      3.272619
     3601.300      3.395535
     3601.400      3.631191
     3601.500      3.910457
     3601.600      4.210524
     3601.700      4.507589
     3601.800      4.405656
     3601.900      4.105722
     3602.000      4.040689
     3602.100      4.058855
     3602.200      3.920021
     3602.300      3.852487
     3602.400      3.905454
     3602.500      3.909520
     3602.600      3.810786
     3602.700      3.691553
     3602.800      3.580919
     3602.900      3.536185
     3603.000      3.539752
     3603.100      3.561818
     3603.200      3.702784
     3603.300      3.831151
     3603.400      3.756818
     3603.500      3.658984
     3603.600      3.846950
     3603.700      4.203816
     3603.800      4.413183
     3603.900      4.366050
     3604.000      4.184816
     3604.100      3.949582
     3604.200      3.728449
     3604.300      3.757616
     3604.400      3.835182
     3604.500      3.650149
     3604.600      3.429215
     3604.700      3.408982
     3604.800      3.509748
     3604.900      3.670515
     3605.000      3.873881
     3605.100      4.035248
     3605.200      4.091715
     3605.300      4.030781
     3605.400      3.911148
     3605.500      3.843215
     3605.600      3.847981
     3605.700      3.895348
     3605.800      3.891715
     3605.900      3.835481
     3606.000      3.796248
     3606.100      3.659315
     3606.200      3.506582
     3606.300      3.489348
     3606.400      3.526315
     3606.500      3.558782
     3606.600      3.595948
     3606.700      3.548815
     3606.800      3.471582
     3606.900      3.574249
     3607.000      3.747015
     3607.100      3.816082
     3607.200      3.831449
     3607.300      3.823316
     3607.400      3.817183
     3607.500      3.854850
     3607.600      3.839117
     3607.700      3.762984
     3607.800      3.716550
     3607.900      3.743518
     3608.000      3.770484
     3608.100      3.744651
     3608.200      3.826818
     3608.300      3.937985
     3608.400      3.868252
     3608.500      3.783619
     3608.600      3.728986
     3608.700      3.662453
     3608.800      3.705320
     3608.900      3.763687
     3609.000      3.737654
     3609.100      3.789921
     3609.200      3.861088
     3609.300      3.802556
     3609.400      3.698123
     3609.500      3.576389
     3609.600      3.412457
     3609.700      3.259533
     3609.800      3.244821
     3609.900      3.343628
     3610.000      3.465825
     3610.100      3.548392
     3610.200      3.600159
     3610.300      3.640427
     3610.400      3.620494
     3610.500      3.613461
     3610.600      3.641828
     3610.700      3.612696
     3610.800      3.570562
     3610.900      3.527330
     3611.000      3.452897
     3611.100      3.386614
     3611.200      3.404432
     3611.300      3.542599
     3611.400      3.698267
     3611.500      3.772834
     3611.600      3.758101
     3611.700      3.713268
     3611.800      3.693435
     3611.900      3.643203
     3612.000      3.523870
     3612.100      3.457938
     3612.200      3.494406
     3612.300      3.534773
     3612.400      3.573140
     3612.500      3.664007
     3612.600      3.791775
     3612.700      3.858342
     3612.800      3.775010
     3612.900      3.657977
     3613.000      3.597845
     3613.100      3.585812
     3613.200      3.602180
     3613.300      3.603247
     3613.400      3.648715
     3613.500      3.706882
     3613.600      3.711849
     3613.700      3.685617
     3613.800      3.601785
     3613.900      3.564553
     3614.000      3.620120
     3614.100      3.696087
     3614.200      3.802155
     3614.300      3.772923
     3614.400      3.625191
     3614.500      3.486258
     3614.600      3.291555
     3614.700      3.143944
     3614.800      3.146981
     3614.900      3.213649
     3615.000      3.280647
     3615.100      3.378054
     3615.200      3.431132
     3615.300      3.400700
     3615.400      3.371487
     3615.500      3.346035
     3615.600      3.290603
     3615.700      3.241681
     3615.800      3.279928
     3615.900      3.379076
     3616.000      3.421674
     3616.100      3.492042
     3616.200      3.741210
     3616.300      4.187377
     3616.400      4.397445
     3616.500      4.239213
     3616.600      4.321881
     3616.700      4.268349
     3616.800      3.908617
     3616.900      4.000385
     3617.000      4.679953
     3617.100      4.937120
     3617.200      4.340789
     3617.300      3.852656
     3617.400      3.947824
     3617.500      4.333092
     3617.600      4.626760
     3617.700      4.428829
     3617.800      3.877896
     3617.900      3.681765
     3618.000      3.979433
     3618.100      4.294100
     3618.200      4.333569
     3618.300      4.504336
     3618.400      4.583905
     3618.500      4.067073
     3618.600      3.564141
     3618.700      3.580509
     3618.800      4.004077
     3618.900      4.248145
     3619.000      3.937814
     3619.100      3.756481
     3619.200      4.150849
     3619.300      4.407218
     3619.400      3.963786
     3619.500      3.481654
     3619.600      3.405422
     3619.700      3.681791
     3619.800      4.030659
     3619.900      3.899227
     3620.000      3.495495
     3620.100      3.423664
     3620.200      3.743832
     3620.300      4.153000
     3620.400      4.037969
     3620.500      3.544736
     3620.600      3.352115
     3620.700      3.460473
     3620.800      3.816641
     3620.900      4.310810
     3621.000      4.304178
     3621.100      3.815146
     3621.200      3.364985
     3621.300      3.246444
     3621.400      3.588252
     3621.500      4.188320
     3621.600      4.382389
     3621.700      4.032157
     3621.800      3.697926
     3621.900      3.503794
     3622.000      3.561162
     3622.100      4.109131
     3622.200      4.552199
     3622.300      4.212668
     3622.400      3.685737
     3622.500      3.422505
     3622.600      3.341113
     3622.700      3.424342
     3622.800      3.808610
     3622.900      4.264179
     3623.000      4.182648
     3623.100      3.803216
     3623.200      3.690285
     3623.300      3.748853
     3623.400      3.879322
     3623.500      4.307590
     3623.600      4.833059
     3623.700      4.764228
     3623.800      4.321496
     3623.900      3.933065
     3624.000      3.708234
     3624.100      3.704303
     3624.200      3.761672
     3624.300      3.872040
     3624.400      4.176309
     3624.500      4.358277
     3624.600      4.186346
     3624.700      3.948115
     3624.800      3.788984
     3624.900      3.705752
     3625.000      3.824721
     3625.100      4.339090
     3625.200      4.774059
     3625.300      4.527627
     3625.400      4.156797
     3625.500      3.935865
     3625.600      3.665034
     3625.700      3.485003
     3625.800      3.538972
     3625.900      3.653741
     3626.000      3.707710
     3626.100      3.877979
     3626.200      3.942848
     3626.300      3.922917
     3626.400      4.091486
